Country,Provider,City,Hotel Name,Address,Rating,No Of Ratings,Rating Summary,Amenities,Room Type,Final Price,Slashed Price,Discount(%)
India,OYO,Agra,OYO 3209 Hotel Anand Villa,"Fatehabad Rd, Agra",4.6,190,Excellent,"Parking Facility, Conference Room, Geyser, + 5 more",,₹967,₹1735,44% off
India,OYO,Agra,Capital O 3768 Atithi Taj west gate,"Tajganj, Fatehabad Road, Agra",4.1,849,Very,"First Aid, Functional Living Area, Daily Housekeeping, + 26 more",,₹1660,₹2434,32% off
India,OYO,Agra,OYO 8743 Hotel Ravi Palace,"Shilpgram Road, Agra",3.9,148,Good,"Parking Facility, AC, TV, + 4 more",,₹920,₹1349,32% off
India,OYO,Agra,OYO 13125 Hotel Gwal Palace Deluxe,"Avas Vikas Colony, Central Park Road, Agra",4.3,215,Very,"Parking Facility, Kitchen, CCTV Cameras, + 10 more",,₹962,₹1544,38% off
India,OYO,Agra,OYO 10961 Indraprasth Residency,"Indraprasth Residency, near Railway Station",4.3,348,Very,"Elevator, AC, TV, + 5 more",,₹928,₹1360,32% off
India,OYO,Agra,OYO 10454 Hotel Riviera,"Behind Pacific Mall, Agra",4.5,594,Excellent,"Elevator, AC, Banquet Hall, + 8 more",,₹1227,₹1799,32% off
India,OYO,Agra,OYO 9367 Hotel Taj Galaxy,"Near Taj Mahal V.I.P Gate, Fatehabad Road, Agra",3.2,41,Fair,"Parking Facility, Conference Room, Geyser, + 9 more",,₹1403,₹2058,32% off
India,OYO,Agra,OYO 9974 Hotel Taj Prince,"Fatehabad Road, Agra",3.9,23,Good,"Parking Facility, AC, TV, + 5 more",,₹921,₹1579,42% off
India,OYO,Agra,OYO 29077 Hotel Ratandeep,"Fatehabad Road, Tajganj, Agra",3.4,176,Fair,"Parking Facility, Kitchen, AC, + 5 more",,₹1276,₹1872,32% off
India,OYO,Agra,Captial O 15493 The Royal,"adjecent to Gurdwara, Agra",4.5,588,Excellent,"Parking Facility, Kitchen, CCTV Cameras, + 14 more",,₹1216,₹2117,43% off
India,OYO,Agra,OYO 18641 Hotel Rashmi,"Near Taj Mahal, Agra",3.0,64,Fair,"AC, Card Payment, Power backup, + 6 more",,₹880,₹1735,49% off
India,OYO,Agra,OYO 13035 Noosa Hotel Deluxe,"Near TDI Mall, Fatehabad Road, Agra",4.3,311,Very,"Parking Facility, CCTV Cameras, Conference Room, + 5 more",,₹3481,₹5105,32% off
India,OYO,Agra,OYO 16147 Hotel Jyoti Continental Agra,"Near Jaggi Nursing Home, Agra",NEW,nan,nan,"Parking Facility, Kitchen, Card Payment, + 3 more",,₹961,₹1409,32% off
India,OYO,Agra,SPOT ON 61915 Rajdeep Paying Guest House SPOT,"Near Shilpgram Parking, Agra",3.1,41,Fair,"Attached Bathroom, CCTV Cameras, Fire-Extinguisher, + 5 more",,₹861,₹1262,32% off
India,OYO,Agra,Capital O 3773 City Square And Suites,"Fatehabad Road, Agra",4.2,475,Very,"Parking Facility, Kitchen, CCTV Cameras, + 10 more",,₹1014,₹1735,42% off
India,OYO,Agra,OYO 29187 Hotel Shree Banke Bihari Ji Guest House Saver,"Near Water Works Crossing, Agra",4.1,104,Very,"First Aid, Attached Bathroom, Daily Housekeeping, + 10 more",,₹901,₹1322,32% off
India,OYO,Agra,OYO 19881 Hotel Ganpati Agra,"Taj Nagri Phase 1, Agra",4.0,53,Very,"Parking Facility, Kitchen, CCTV Cameras, + 5 more",,₹913,₹1338,32% off
India,OYO,Agra,SPOT ON 60218 Hotel Raj Inn SPOT,"Jagnair Rd, Dhanauli, Agra",3.8,72,Good,"Kitchen, CCTV Cameras, Geyser, + 5 more",,₹562,₹823,32% off
India,OYO,Agra,OYO 28053 Hotel Gayatri Palace,"Near Basai Police Chowki, Taj Nagri Phase-1, Agra",3.1,19,Fair,"Parking Facility, First Aid, Buzzer/Door Bell, + 13 more",,₹875,₹1369,36% off
India,OYO,Agra,OYO 11005 Hotel Shanti Palace,"Near Kargil Petrol Pump, Sikandra, Agra",4.5,516,Excellent,"AC, TV, Card Payment, + 4 more",,₹1396,₹2047,32% off
India,OYO,Agra,OYO 30907 Hotel MR Grand,"Near Eit Mandi, Sikandra Bodla Road, Agra",4.1,14,Very,"First Aid, Attached Bathroom, CCTV Cameras, + 7 more",,₹766,₹1257,39% off
India,OYO,Agra,OYO 43997 Hotel Aashiyanaa Palace,"Shilpgram Road, Taj Nagri Phase-1, Agra",3.1,34,Fair,"Parking Facility, In-house Restaurant, AC, + 7 more",,₹1309,₹1920,32% off
India,OYO,Agra,SPOT ON 43020 Mis Fila SPOT,"Baluganj, Rakabganj, Agra",4.5,902,Excellent,"AC, Power backup, Free Wifi, + 4 more",,₹735,₹1078,32% off
India,OYO,Agra,SPOT ON 65287 Ns Guest House,"fatehabad road, Agra",NEW,nan,nan,nan,,₹819,₹1201,32% off
India,OYO,Agra,OYO 41136 C M Home Stay,"Fatehabad Rd, Agra",3.5,3,Good,"Parking Facility, First Aid, Attached Bathroom, + 7 more",,₹913,₹1338,32% off
India,OYO,Agra,OYO 63489 Hotel Taj Paradise,"Tajganj, Agra",3.4,85,Fair,"Parking Facility, In-house Restaurant, Kitchen, + 7 more",,₹943,₹1383,32% off
India,OYO,Agra,OYO 14219 Hotel Banshi,"Near Sangeeta Ram Lawania Hospital, Agra",NEW,nan,nan,"CCTV Cameras, Geyser, In-house Restaurant, + 5 more",,₹928,₹1360,32% off
India,OYO,Agra,OYO 29051 Hotel Solitaire & Restaurant Deluxe,"Near Akhilesh Tower, Mahatma Gandhi Road, Agra",3.6,238,Good,"First Aid, Daily Housekeeping, Conference Room, + 19 more",,₹1756,₹2575,32% off
India,OYO,Agra,OYO 29742 Hotel Seva & Restaurant,"Behind Petrol Pump, Baluganj, Agra",3.3,57,Fair,"Parking Facility, Kitchen, Daily Housekeeping, + 10 more",,₹1216,₹1783,32% off
India,OYO,Agra,OYO 60929 Hotel Wonderland,"Agra., Agra",NEW,nan,nan,nan,,₹875,₹1283,32% off
India,OYO,Agra,OYO 46629 Hotel Anmol Palace  Saver,"Near Fire Station, Shastripuram, Agra",4.8,26,Excellent,"Parking Facility, AC, TV, + 4 more",,₹793,₹1163,32% off
India,OYO,Agra,SPOT ON 48399 Hotel Sitaram Palace SPOT,"Fatehabad Rd, Taj View Crossing, Tajganj, Agra",4.7,828,Excellent,"AC, Card Payment, 24/7 Checkin, + 5 more",,₹649,₹951,32% off
India,OYO,Agra,SPOT ON 64131 Shyaam Sundar Guest House SPOT,"Basai., Agra",NEW,nan,nan,nan,,₹465,₹682,32% off
India,OYO,Agra,Capital O 63168 Jn Plaza Hotel & Restaurant,"Farah, Agra",NEW,nan,nan,"Parking Facility, Bath Tub, Kitchen, + 10 more",,₹976,₹1432,32% off
India,OYO,Agra,OYO 49595 Hotel Enroute Taj,"Near Taj Mahal, Agra",4.3,205,Very,"Parking Facility, Kitchen, Attached Bathroom, + 12 more",,₹1014,₹1487,32% off
India,OYO,Agra,SPOT ON 66679 Hotel Viren Pacific SPOT,"Agra., Agra",NEW,nan,nan,nan,,₹712,₹1043,32% off
India,OYO,Agra,OYO 13475 KN Plaza,"Sikandara Bodla Road, Agra",NEW,nan,nan,"Elevator, AC, TV, + 3 more",,₹880,₹1300,32% off
India,OYO,Agra,OYO 35708 Zee Hotel,"Near Taj View Crossing, Fatehabad Road, Agra",4.6,265,Excellent,"Parking Facility, Kitchen, First Aid, + 14 more",,₹1014,₹1487,32% off
India,OYO,Agra,OYO 33431 Hotel Ekta Residency,"Near ISBT, Transport Nagar, Agra",3.7,27,Good,"AC, TV, CCTV Cameras, + 2 more",,₹1014,₹1487,32% off
India,OYO,Agra,SPOT ON 60711 Hotel Radhe Inn SPOT,"Near Kailash Cinema, Agra",4.1,81,Very,nan,,₹465,₹682,32% off
India,OYO,Agra,SPOT ON 64687 Kamla Farms SPOT,"Shastripuram, Agra",NEW,nan,nan,"Attached Bathroom, CCTV Cameras, Fire-Extinguisher, + 2 more",,₹540,₹792,32% off
India,OYO,Agra,OYO 5539 Merit Hotel,"Fatehabad Road, Agra",3.9,123,Good,"Parking Facility, CCTV Cameras, Geyser, + 7 more",,₹1409,₹2066,32% off
India,OYO,Agra,OYO 27742 Zaki Hs Saver,"Phase 1 Taj Nagri, Agra",3.6,19,Good,"Attached Bathroom, Daily Housekeeping, CCTV Cameras, + 3 more",,₹727,₹1131,36% off
India,OYO,Agra,OYO 14220 Hotel B R International,"Near TDI Mall, Tajganj, Agra",3.3,4,Fair,"Card Payment, Power backup, Free Wifi, + 3 more",,₹913,₹1338,32% off
India,OYO,Agra,OYO 19802 Hotel Anant Plaza,"Near Taj Mahal, Agra",4.4,2,Very,"Parking Facility, Kitchen, CCTV Cameras, + 7 more",,₹913,₹1338,32% off
India,OYO,Agra,SPOT ON 60588 Pawan Home Stay SPOT,"Near Taj Mahal East Gate, Shilpgram, Agra",3.7,9,Good,"Parking Facility, AC, CCTV Cameras, + 3 more",,₹481,₹705,32% off
India,OYO,Agra,OYO 24879 Partap Inn,"Tajganj, Basai, Agra",NEW,nan,nan,"First Aid, Daily Housekeeping, AC, + 13 more",,₹876,₹1284,32% off
